time	hru_evap(1)	soil_runoff(1)	soil_moist(1)	soil_rechr(1)	runoff(1)	meltrunoff(1)	infil(1)	hru_actet(1)	Sdex(1)	Sdexcess(1)	basinflow_m(1)	gwoutflow_m(1)	outflow_m(1)	runoutflow_m(1)	Sd(1)
units	(mm/int)	(mm/int)	(mm)	(mm)	(mm/int)	(mm/int)	(mm/int)	(mm/int)	(mm)	(mm/int)	(mm/int)	(mm/int)	(mm/int)	(mm/int)	(mm)
40822.375	0.164162	0	222.269	32.2692	0	0	0	0.0794211	0	0	0	0	0	0	12.1823
40822.41667	0.264755	0	222.155	32.1551	0	0	0	0.127834	0	0	0	0	0	0	12.1685
40822.45833	0.332301	0	222.012	32.0124	0	0	0	0.159936	0	0	0	0	0	0	12.1513
40822.5	0.392073	0	221.845	31.8448	0	0	0	0.18795	0	0	0	0	0	0	12.1309
40822.54167	0.433796	0	221.66	31.6603	0	0	0	0.206969	0	0	0	0	0	0	12.1084
40822.58333	0.416735	0	221.484	31.4841	0	0	0	0.197791	0	0	0	0	0	0	12.0869
40822.625	0.376532	0	221.326	31.3258	0	0	0	0.177813	0	0	0	0	0	0	12.0674
40822.66667	0.302171	0	221.199	31.1994	0	0	0	0.142051	0	0	0	0	0	0	12.0517
40822.70833	0.151318	0	221.136	31.1363	0	0	0	0.0708763	0	0	0	0	0	0	12.0439
40822.75	0	0	221.136	31.1363	0	0	0	0	0	0	0	0	0	0	12.0439
40822.79167	0	0	221.136	31.1363	0	0	0	0	0	0	0	0	0	0	12.0439
40822.83333	0	0	221.136	31.1363	0	0	0	0	0	0	0	0	0	0	12.0439
40822.875	0	0	221.136	31.1363	0	0	0	0	0	0	0	0	0	0	12.0439
40822.91667	0	0	221.136	31.1363	0	0	0	0	0	0	0	0	0	0	12.0439
40822.95833	0	0	221.136	31.1363	0	0	0	0	0	0	0	0	0	0	12.0439
40823	0	0	221.136	31.1363	0	0	0	0	0	0	0	0	0	0	12.0439
40823.04167	0	0	221.136	31.1363	0	0	0	0	0	0	0	0	0	0	12.0439
40823.08333	0	0	221.136	31.1363	0	0	0	0	0	0	0	0	0	0	12.0439
40823.125	0	0	221.136	31.1363	0	0	0	0	0	0	0	0	0	0	12.0439
40823.16667	0	0	221.136	31.1363	0	0	0	0	0	0	0	0	0	0	12.0439
40823.20833	0	0	221.136	31.1363	0	0	0	0	0	0	0	0	0	0	12.0439
40823.25	0	0	221.136	31.1363	0	0	0	0	0	0	0	0	0	0	12.0439
40823.29167	0	0	221.136	31.1363	0	0	0	0	0	0	0	0	0	0	12.0439
40823.33333	0.0627653	0	221.11	31.1102	0	0	0	0.0293453	0	0	0	0	0	0	12.0407
40823.375	0.168429	0	221.04	31.0402	0	0	0	0.0786879	0	0	0	0	0	0	12.032
40823.41667	0.307676	0	220.913	30.9127	0	0	0	0.143451	0	0	0	0	0	0	12.0161
40823.45833	0.408412	0	220.744	30.744	0	0	0	0.189714	0	0	0	0	0	0	11.995
40823.5	0.487591	0	220.544	30.5438	0	0	0	0.225382	0	0	0	0	0	0	11.9699
40823.54167	0.49201	0	220.343	30.343	0	0	0	0.226092	0	0	0	0	0	0	11.9446
40823.58333	0.480695	0	220.148	30.1481	0	0	0	0.219587	0	0	0	0	0	0	11.9199
40823.625	0.388315	0	219.992	29.9917	0	0	0	0.176363	0	0	0	0	0	0	11.8999
40823.66667	0.325368	0	219.861	29.8613	0	0	0	0.147085	0	0	0	0	0	0	11.8832
40823.70833	0.216095	0	219.775	29.7751	0	0	0	0.0973063	0	0	0	0	0	0	11.8721
40823.75	0	0	219.775	29.7751	0	0	0	0	0	0	0	0	0	0	11.8721
40823.79167	0	0	219.775	29.7751	0	0	0	0	0	0	0	0	0	0	11.8721
40823.83333	0	0	219.775	29.7751	0	0	0	0	0	0	0	0	0	0	11.8721
40823.875	0	0	219.775	29.7751	0	0	0	0	0	0	0	0	0	0	11.8721
40823.91667	0	0	219.775	29.7751	0	0	0	0	0	0	0	0	0	0	11.8721
40823.95833	0	0	219.775	29.7751	0	0	0	0	0	0	0	0	0	0	11.8721
40824	0	0	219.775	29.7751	0	0	0	0	0	0	0	0	0	0	11.8721
40824.04167	0	0	219.775	29.7751	0	0	0	0	0	0	0	0	0	0	11.8721
40824.08333	0	0	219.775	29.7751	0	0	0	0	0	0	0	0	0	0	11.8721
40824.125	0	0	219.775	29.7751	0	0	0	0	0	0	0	0	0	0	11.8721
40824.16667	0	0	219.775	29.7751	0	0	0	0	0	0	0	0	0	0	11.8721
40824.20833	0	0	219.775	29.7751	0	0	0	0	0	0	0	0	0	0	11.8721
40824.25	0	0	219.775	29.7751	0	0	0	0	0	0	0	0	0	0	11.8721
40824.29167	0	0	219.775	29.7751	0	0	0	0	0	0	0	0	0	0	11.8721
40824.33333	0.0551614	0	219.753	29.7532	0	0	0	0.0247744	0	0	0	0	0	0	11.8693
40824.375	0.171841	0	219.685	29.6848	0	0	0	0.0771273	0	0	0	0	0	0	11.8605
40824.41667	0.316047	0	219.559	29.5595	0	0	0	0.141558	0	0	0	0	0	0	11.8443
40824.45833	0.445384	0	219.383	29.3835	0	0	0	0.198733	0	0	0	0	0	0	11.8215
40824.5	0.524027	0	219.178	29.1777	0	0	0	0.232575	0	0	0	0	0	0	11.7947
40824.54167	0.556	0	218.961	28.9609	0	0	0	0.245215	0	0	0	0	0	0	11.7663
40824.58333	0.514499	0	218.762	28.7618	0	0	0	0.2254	0	0	0	0	0	0	11.7401
40824.625	0.45564	0	218.587	28.5866	0	0	0	0.198384	0	0	0	0	0	0	11.7169
40824.66667	0.380447	0	218.441	28.4412	0	0	0	0.164741	0	0	0	0	0	0	11.6975
40824.70833	0.237239	0	218.351	28.351	0	0	0	0.102261	0	0	0	0	0	0	11.6855
40824.75	0	0	218.351	28.351	0	0	0	0	0	0	0	0	0	0	11.6855
40824.79167	0	0	218.351	28.351	0	0	0	0	0	0	0	0	0	0	11.6855
40824.83333	0	0	218.351	28.351	0	0	0	0	0	0	0	0	0	0	11.6855
40824.875	0	0	218.351	28.351	0	0	0	0	0	0	0	0	0	0	11.6855
40824.91667	0	0	218.351	28.351	0	0	0	0	0	0	0	0	0	0	11.6855
40824.95833	0	0	218.351	28.351	0	0	0	0	0	0	0	0	0	0	11.6855
40825	0	0	218.351	28.351	0	0	0	0	0	0	0	0	0	0	11.6855
40825.04167	0	0	218.351	28.351	0	0	0	0	0	0	0	0	0	0	11.6855
40825.08333	0	0	218.351	28.351	0	0	0	0	0	0	0	0	0	0	11.6855
40825.125	0	0	218.351	28.351	0	0	0	0	0	0	0	0	0	0	11.6855
40825.16667	0	0	218.351	28.351	0	0	0	0	0	0	0	0	0	0	11.6855
40825.20833	0	0	218.351	28.351	0	0	0	0	0	0	0	0	0	0	11.6855
40825.25	0	0	218.351	28.351	0	0	0	0	0	0	0	0	0	0	11.6855
40825.29167	0	0	218.351	28.351	0	0	0	0	0	0	0	0	0	0	11.6855
40825.33333	0.0564552	0	218.33	28.3296	0	0	0	0.0242658	0	0	0	0	0	0	11.6826
40825.375	0.167386	0	218.266	28.2662	0	0	0	0.071898	0	0	0	0	0	0	11.6741
40825.41667	0.321124	0	218.145	28.1448	0	0	0	0.137657	0	0	0	0	0	0	11.6578
40825.45833	0.406551	0	217.992	27.9919	0	0	0	0.173608	0	0	0	0	0	0	11.6372
40825.5	0.429572	0	217.831	27.8311	0	0	0	0.182546	0	0	0	0	0	0	11.6154
